Session,Yearspan,SessionStartYear,Name,Party,Gendercheck,Gender,Chamber,District,Home County
General Assembly 39 (1921–1923),(1921–1923),1921,John H. Aiken,Republican,0,M,House,59,Ida
General Assembly 39 (1921–1923),(1921–1923),1921,Charles S. Aldrich,Republican,0,M,House,26,Marion
General Assembly 39 (1921–1923),(1921–1923),1921,George S. Allyn,Republican,0,M,House,7,Ringgold
General Assembly 39 (1921–1923),(1921–1923),1921,Joseph H. Anderson,Republican,0,M,House,95,Winnebago
General Assembly 39 (1921–1923),(1921–1923),1921,William Becker,Republican,0,M,House,70,Clayton
General Assembly 39 (1921–1923),(1921–1923),1921,Irving E. Beeman,Republican,0,M,House,90,Allamakee
General Assembly 39 (1921–1923),(1921–1923),1921,Louis F. Benz,Democrat,0,M,House,89,Chickasaw
General Assembly 39 (1921–1923),(1921–1923),1921,Henry S. Berry,Republican,0,M,House,17,Monroe
General Assembly 39 (1921–1923),(1921–1923),1921,William R. Blake,Republican,0,M,House,71,Fayette
General Assembly 39 (1921–1923),(1921–1923),1921,John Bradley,Republican,0,M,House,39,Poweshiek
General Assembly 39 (1921–1923),(1921–1923),1921,Albert V. Brady,Republican,0,M,House,82,O’Brien
General Assembly 39 (1921–1923),(1921–1923),1921,Charles R. Buffington,Republican,0,M,House,11,Mills
General Assembly 39 (1921–1923),(1921–1923),1921,Julian C. Calhoun,Republican,0,M,House,2,Van Buren
General Assembly 39 (1921–1923),(1921–1923),1921,Luther V. Carter,Republican,0,M,House,64,Hardin
General Assembly 39 (1921–1923),(1921–1923),1921,William C. Children,Republican,0,M,House,31,Pottawattamie
General Assembly 39 (1921–1923),(1921–1923),1921,Charles F. Clark,Republican,0,M,House,48,Linn
General Assembly 39 (1921–1923),(1921–1923),1921,William J. Colbert,Republican,0,M,House,14,Union
General Assembly 39 (1921–1923),(1921–1923),1921,William S. Criswell,Republican,0,M,House,53,Boone
General Assembly 39 (1921–1923),(1921–1923),1921,Horace H. Dodd,Republican,0,M,House,92,Howard
General Assembly 39 (1921–1923),(1921–1923),1921,Henry N. Donhowe,Republican,0,M,House,52,Story
General Assembly 39 (1921–1923),(1921–1923),1921,Clyde H. Doolittle,Republican,0,M,House,68,Delaware
General Assembly 39 (1921–1923),(1921–1923),1921,Henry Edgington,Republican,0,M,House,57,Monona
General Assembly 39 (1921–1923),(1921–1923),1921,Willis C. Edson,Republican,0,M,House,78,Buena Vista
General Assembly 39 (1921–1923),(1921–1923),1921,Frank W. Elliott,Republican,0,M,House,43,Scott
General Assembly 39 (1921–1923),(1921–1923),1921,Charles W. Elson,Republican,0,M,House,5,Wayne
General Assembly 39 (1921–1923),(1921–1923),1921,Daniel A. Emery,Republican,0,M,House,18,Wapello
General Assembly 39 (1921–1923),(1921–1923),1921,Samuel E. Fackler,Republican,0,M,House,13,Adams
General Assembly 39 (1921–1923),(1921–1923),1921,Linus B. Forsling,Republican,0,M,House,58,Woodbury
General Assembly 39 (1921–1923),(1921–1923),1921,James S. Francis,Republican,0,M,House,8,Taylor
General Assembly 39 (1921–1923),(1921–1923),1921,Jacob S. Garber,Republican,0,M,House,88,Floyd
General Assembly 39 (1921–1923),(1921–1923),1921,Ray O. Garber,Republican,0,M,House,29,Adair
General Assembly 39 (1921–1923),(1921–1923),1921,D. Millard Gibson,Republican,0,M,House,15,Clarke
General Assembly 39 (1921–1923),(1921–1923),1921,Frederick B. Gilbert,Republican,0,M,House,51,Marshall
General Assembly 39 (1921–1923),(1921–1923),1921,Ole Gilbertson,Republican,0,M,House,91,Winneshiek
General Assembly 39 (1921–1923),(1921–1923),1921,Charles Gilmore,Republican,0,M,House,83,Clay
General Assembly 39 (1921–1923),(1921–1923),1921,William T. Gilmore,Republican,0,M,House,44,Cedar
General Assembly 39 (1921–1923),(1921–1923),1921,W. G. Gordon,Republican,0,M,House,96,Emmet
General Assembly 39 (1921–1923),(1921–1923),1921,Samuel L. Graham,Republican,0,M,House,18,Wapello
General Assembly 39 (1921–1923),(1921–1923),1921,Edmund A. Grimwood,Republican,0,M,House,47,Jones
General Assembly 39 (1921–1923),(1921–1923),1921,Charles L. Gunderson,Republican,0,M,House,77,Pocahontas
General Assembly 39 (1921–1923),(1921–1923),1921,John W. Hanna,Republican,0,M,House,49,Benton
General Assembly 39 (1921–1923),(1921–1923),1921,Ernest P. Harrison,Republican,0,M,House,31,Pottawattamie
General Assembly 39 (1921–1923),(1921–1923),1921,Amos O. Hauge,Republican,0,M,House,37,Polk
General Assembly 39 (1921–1923),(1921–1923),1921,Edwin P. Healy,Republican,0,M,House,86,Hancock
General Assembly 39 (1921–1923),(1921–1923),1921,George E. Held,Republican,0,M,House,80,Plymouth
General Assembly 39 (1921–1923),(1921–1923),1921,Charles W. Huff,Republican,0,M,House,30,Cass
General Assembly 39 (1921–1923),(1921–1923),1921,Fred W. Ingersoll,Republican,0,M,House,50,Tama
General Assembly 39 (1921–1923),(1921–1923),1921,Gustavus A. Justice,Republican,0,M,House,33,Shelby
