Session,Years,SessionStartYear,Name,Party,District,Chamber,GenderCheck,Gender,Home County
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Jesse B. Browne,Whig,2,Senate,0,M,Lee
Legislative Assembly 1 (1838–1839),(1838–1839),1838,James M. Clark,Whig,5,Senate,0,M,Louisa
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Stephen Hempstead,Democrat,8,Senate,0,M,Dubuque
Legislative Assembly 1 (1838–1839),(1838–1839),1838,George Hepner,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Lawson B. Hughes,Whig,3,Senate,0,M,Henry
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Arthur Inghram,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Isham Keith,Whig,4,Senate,0,M,Van Buren
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Warner Lewis,Democrat,8,Senate,0,M,Dubuque
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Jonathan W. Parker,Democrat,7,Senate,0,M,Scott
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Jesse D. Payne,Whig,3,Senate,0,M,Henry
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Robert Ralston,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 1 (1838–1839),(1838–1839),1838,E. A. M. Swazy,Democrat,4,Senate,0,M,Van Buren
Legislative Assembly 1 (1838–1839),(1838–1839),1838,Charles Whittlesey,Whig,6,Senate,0,M,Cedar
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Jesse B. Browne,Whig,2,Senate,0,M,Lee
Legislative Assembly 2 (1839–1840),(1839–1840),1839,James M. Clark,Whig,5,Senate,0,M,Louisa
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Stephen Hempstead,Democrat,8,Senate,0,M,Dubuque
Legislative Assembly 2 (1839–1840),(1839–1840),1839,George Hepner,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Lawson B. Hughes,Whig,3,Senate,0,M,Henry
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Arthur Inghram,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Isham Keith,Whig,4,Senate,0,M,Van Buren
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Warner Lewis,Democrat,8,Senate,0,M,Dubuque
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Jonathan W. Parker,Democrat,7,Senate,0,M,Scott
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Jesse D. Payne,Whig,3,Senate,0,M,Henry
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Robert Ralston,Democrat,1,Senate,0,M,Des Moines
Legislative Assembly 2 (1839–1840),(1839–1840),1839,E. A. M. Swazy,Democrat,4,Senate,0,M,Van Buren
Legislative Assembly 2 (1839–1840),(1839–1840),1839,Charles Whittlesey,Whig,6,Senate,0,M,Cedar
Legislative Assembly 3 (1840–1841),(1840–1841),1840,Gideon S. Bailey,Democrat,2,Senate,0,M,Van Buren
Legislative Assembly 3 (1840–1841),(1840–1841),1840,Mortimer M. Bainbridge,Whig,10,Senate,0,M,Dubuque
Legislative Assembly 3 (1840–1841),(1840–1841),1840,Jesse B. Browne,Whig,1,Senate,0,M,Lee
Legislative Assembly 3 (1840–1841),(1840–1841),1840,William G. Coop,Democrat,5,Senate,0,M,Jefferson
Legislative Assembly 3 (1840–1841),(1840–1841),1840,George Greene,Democrat,8,Senate,0,M,Linn
Legislative Assembly 3 (1840–1841),(1840–1841),1840,James Hall,Democrat,2,Senate,0,M,Van Buren
Legislative Assembly 3 (1840–1841),(1840–1841),1840,Serranus C. Hastings,Democrat,7,Senate,0,M,Muscatine
